Gender,AgeClass,Event,WeightClass,AnnualImprovement
M,40-44,B,95.96,4.333333333333333
M,40-44,B,102.9,4.75
M,35-39,B,96.5,5.0
M,40-44,B,105.13,6.416666666666667
M,35-39,B,88.0,8.75
M,40-44,B,98.83,0.0
M,40-44,B,87.94,-2.8
M,45-49,B,71.5,-7.25
M,40-44,B,98.7,12.0
M,40-44,B,84.85,3.3333333333333335
M,40-44,B,100.3,-0.0
M,,B,95.95,-27.0
M,45-49,B,71.7,-16.0
M,24-34,B,105.84,
M,35-39,B,103.77,
M,24-34,B,98.78,-1.1666666666666667
M,35-39,B,93.9,-5.0
M,35-39,B,107.0,
M,24-34,B,107.5,
M,24-34,B,100.0,
M,35-39,B,105.07,
M,35-39,B,122.6,12.333333333333334
M,35-39,B,103.5,7.666666666666667
M,40-44,B,123.45,8.2
M,35-39,B,111.29,13.333333333333334
M,35-39,B,126.1,-1.0
M,40-44,B,123.07,1.0
M,45-49,B,109.25,2.5
M,40-44,B,88.05,-2.7142857142857144
F,24-34,B,40.35,2.6666666666666665
F,35-39,B,40.3,8.333333333333334
F,24-34,B,40.2,20.0
F,24-34,B,39.77,2.6666666666666665
F,35-39,B,40.5,1.5
F,24-34,B,40.75,0.5
F,45-49,B,43.55,1.3333333333333333
F,50-54,B,47.61,-1.2692307692307692
F,40-44,B,39.49,0.4166666666666667
F,45-49,B,44.01,1.6666666666666667
F,35-39,B,38.2,
F,45-49,B,45.0,
F,45-49,B,44.11,
F,35-39,B,39.0,0.0
F,35-39,B,38.6,2.6
F,40-44,B,43.3,3.0
F,40-44,B,43.2,-1.8571428571428572
F,45-49,B,46.4,-2.2142857142857144
F,40-44,B,43.4,2.0833333333333335
F,35-39,B,40.0,
F,50-54,B,43.32,
F,45-49,B,44.55,
F,24-34,B,43.9,3.0
F,24-34,B,42.8,3.0
F,24-34,B,43.5,4.5
F,24-34,B,45.95,
F,24-34,B,49.9,
F,24-34,B,48.37,
F,40-44,B,45.4,-22.0
F,40-44,B,46.16,-2.5
F,45-49,B,48.9,-0.6
F,60-64,B,48.15,
F,55-59,B,49.3,2.5
F,55-59,B,49.0,0.20833333333333334
F,45-49,B,46.55,0.19230769230769232
F,60-64,B,48.35,-2.0
F,60-64,B,47.46,-0.5
F,50-54,B,47.1,2.5
